n_neighbors,weights,metric,CV Accuracy Mean,CV Accuracy Std,CV F1 Mean,CV F1 Std
11,distance,minkowski (p=1),0.814970,0.056434,0.802635,0.060798
9,distance,minkowski (p=1),0.810868,0.060672,0.793721,0.066921
25,distance,minkowski (p=1),0.808655,0.056725,0.793878,0.064265
13,distance,minkowski (p=1),0.804532,0.063781,0.789153,0.073064
11,distance,minkowski (p=2),0.800365,0.048769,0.778568,0.059521
7,distance,minkowski (p=1),0.798368,0.045773,0.783314,0.052497
11,uniform,minkowski (p=1),0.798325,0.054999,0.785584,0.063868
9,distance,minkowski (p=2),0.798303,0.054276,0.781290,0.062260
19,distance,minkowski (p=1),0.796241,0.056953,0.779218,0.066335
15,distance,minkowski (p=1),0.796220,0.057777,0.780230,0.066871
9,uniform,minkowski (p=1),0.794244,0.052977,0.780193,0.058963
23,distance,minkowski (p=1),0.794158,0.044474,0.779101,0.049752
21,distance,minkowski (p=1),0.794158,0.065076,0.777883,0.072476
5,distance,minkowski (p=1),0.794158,0.057649,0.777687,0.066210
15,distance,minkowski (p=2),0.794115,0.058890,0.775445,0.068126
17,distance,minkowski (p=1),0.792075,0.059734,0.775915,0.068147
21,distance,minkowski (p=2),0.792075,0.049394,0.774366,0.060118
13,distance,minkowski (p=2),0.792032,0.059853,0.772284,0.070310
13,uniform,minkowski (p=1),0.787908,0.057392,0.773175,0.070619
23,distance,minkowski (p=2),0.787908,0.048363,0.770725,0.059534
15,uniform,minkowski (p=1),0.785846,0.055801,0.770621,0.068688
11,uniform,minkowski (p=2),0.785803,0.040663,0.763392,0.054887
25,uniform,minkowski (p=1),0.785782,0.049845,0.770721,0.056975
9,uniform,minkowski (p=2),0.783784,0.048580,0.767315,0.059671
17,distance,minkowski (p=2),0.783763,0.053352,0.764070,0.060613
21,uniform,minkowski (p=2),0.783741,0.048308,0.764880,0.061584
21,uniform,minkowski (p=1),0.781701,0.065557,0.767592,0.072271
17,uniform,minkowski (p=1),0.781701,0.059664,0.766444,0.071439
25,distance,minkowski (p=2),0.781658,0.054886,0.762339,0.066841
15,uniform,minkowski (p=2),0.781637,0.053347,0.763194,0.065766
7,uniform,minkowski (p=1),0.779682,0.035313,0.764862,0.046956
19,uniform,minkowski (p=1),0.779618,0.064705,0.764220,0.074616
7,distance,minkowski (p=2),0.775473,0.058009,0.758167,0.065458
23,uniform,minkowski (p=1),0.775430,0.045140,0.759244,0.051771
23,uniform,minkowski (p=2),0.775430,0.045140,0.756945,0.058736
13,uniform,minkowski (p=2),0.775408,0.051507,0.755356,0.065965
5,uniform,minkowski (p=1),0.773389,0.052031,0.758180,0.061195
3,distance,minkowski (p=1),0.773389,0.051613,0.757251,0.059771
17,uniform,minkowski (p=2),0.773346,0.046017,0.752652,0.055701
19,distance,minkowski (p=2),0.769223,0.057609,0.747217,0.067769
25,uniform,minkowski (p=2),0.769180,0.053062,0.748476,0.067172
7,uniform,minkowski (p=2),0.763015,0.057103,0.746304,0.067563
19,uniform,minkowski (p=2),0.760889,0.052806,0.737584,0.065479
5,distance,minkowski (p=2),0.756787,0.030344,0.743782,0.033005
3,uniform,minkowski (p=1),0.756765,0.044913,0.740979,0.057090
3,distance,minkowski (p=2),0.740163,0.064709,0.729065,0.080773
5,uniform,minkowski (p=2),0.733935,0.023699,0.722431,0.028781
3,uniform,minkowski (p=2),0.721478,0.056076,0.712827,0.072817
