Raw Feature,Feature,Direction,Coefficient
categorical__restecg_2 categorical__ca_2,Resting ECG Result = 2 (Left ventricular hypertrophy) x Number of Major Vessels = 2,Toward heart disease,15.330267054538176
categorical__sex_0 categorical__thal_2,Sex = 0 (Female) x Thalassemia Result = 2 (Normal),Toward heart disease,14.41503928066661
categorical__cp_0 categorical__thal_7,Chest Pain Type = 0 (Typical angina) x Thalassemia Result = 7,Toward no heart disease,-13.422448191019319
categorical__cp_3 categorical__thal_7,Chest Pain Type = 3 (Asymptomatic) x Thalassemia Result = 7,Toward heart disease,12.999901879822795
numeric__trestbps categorical__slope_0,Resting Blood Pressure x ST Slope = 0 (Upsloping),Toward heart disease,11.907724594980943
categorical__ca_3 categorical__thal_3,Number of Major Vessels = 3 x Thalassemia Result = 3 (Reversible defect),Toward heart disease,11.791083842084698
categorical__ca_2 categorical__thal_7,Number of Major Vessels = 2 x Thalassemia Result = 7,Toward heart disease,11.410492668098687
categorical__cp_3 categorical__ca_0,Chest Pain Type = 3 (Asymptomatic) x Number of Major Vessels = 0,Toward no heart disease,-10.024382049755577
categorical__restecg_2 categorical__exang_0,Resting ECG Result = 2 (Left ventricular hypertrophy) x Exercise-Induced Angina = 0 (No),Toward heart disease,9.963731267423467
categorical__cp_3 categorical__thal_3,Chest Pain Type = 3 (Asymptomatic) x Thalassemia Result = 3 (Reversible defect),Toward heart disease,8.74304396276643
numeric__oldpeak categorical__slope_2,Oldpeak x ST Slope = 2 (Downsloping),Toward heart disease,8.597584812171592
categorical__cp_0 categorical__fbs_1,Chest Pain Type = 0 (Typical angina) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,-8.395175715992764
categorical__sex_0 categorical__thal_3,Sex = 0 (Female) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-8.143787892929792
numeric__chol categorical__thal_7,Cholesterol x Thalassemia Result = 7,Toward heart disease,7.9654933491231334
categorical__fbs_1 categorical__ca_2,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Number of Major Vessels = 2,Toward no heart disease,-7.789759038638528
categorical__slope_1 categorical__ca_1,ST Slope = 1 (Flat) x Number of Major Vessels = 1,Toward no heart disease,-7.492033154192498
categorical__ca_0 categorical__thal_7,Number of Major Vessels = 0 x Thalassemia Result = 7,Toward no heart disease,-7.288014604143882
categorical__sex_0 categorical__cp_3,Sex = 0 (Female) x Chest Pain Type = 3 (Asymptomatic),Toward heart disease,6.906697955540373
numeric__chol categorical__thal_6,Cholesterol x Thalassemia Result = 6,Toward heart disease,6.830436310461852
numeric__age categorical__thal_3,Age x Thalassemia Result = 3 (Reversible defect),Toward heart disease,6.674478553296684
categorical__restecg_2 categorical__ca_0,Resting ECG Result = 2 (Left ventricular hypertrophy) x Number of Major Vessels = 0,Toward no heart disease,-6.648878083912193
categorical__fbs_1 categorical__restecg_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Resting ECG Result = 1 (ST-T wave abnormality),Toward heart disease,6.597170338690261
categorical__ca_0 categorical__thal_1,Number of Major Vessels = 0 x Thalassemia Result = 1 (Fixed defect),Toward heart disease,6.44950750748449
categorical__restecg_2 categorical__thal_3,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-6.3093649085131736
categorical__cp_2 categorical__slope_3,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 3,Toward no heart disease,-6.249026408194709
categorical__ca_2 categorical__thal_3,Number of Major Vessels = 2 x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-6.206172167820979
categorical__sex_0 categorical__cp_0,Sex = 0 (Female) x Chest Pain Type = 0 (Typical angina),Toward no heart disease,-6.204778064639994
categorical__cp_3 categorical__exang_1,Chest Pain Type = 3 (Asymptomatic) x Exercise-Induced Angina = 1 (Yes),Toward heart disease,6.127765755211091
categorical__cp_1 categorical__slope_1,Chest Pain Type = 1 (Atypical angina) x ST Slope = 1 (Flat),Toward no heart disease,-6.101649489017495
categorical__restecg_2 categorical__ca_3,Resting ECG Result = 2 (Left ventricular hypertrophy) x Number of Major Vessels = 3,Toward heart disease,6.061507006231226
categorical__sex_1 categorical__ca_2,Sex = 1 (Male) x Number of Major Vessels = 2,Toward no heart disease,-5.950967770643778
categorical__restecg_0 categorical__ca_3,Resting ECG Result = 0 (Normal) x Number of Major Vessels = 3,Toward no heart disease,-5.929784722335186
categorical__cp_1 categorical__thal_3,Chest Pain Type = 1 (Atypical angina) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-5.684464168504528
categorical__sex_0 categorical__exang_1,Sex = 0 (Female) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-5.641197832197797
numeric__oldpeak categorical__thal_3,Oldpeak x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-5.580843567186946
categorical__sex_0 categorical__restecg_0,Sex = 0 (Female) x Resting ECG Result = 0 (Normal),Toward no heart disease,-5.432940822585625
categorical__sex_0 categorical__slope_2,Sex = 0 (Female) x ST Slope = 2 (Downsloping),Toward heart disease,5.4288552067691525
categorical__ca_0 categorical__thal_2,Number of Major Vessels = 0 x Thalassemia Result = 2 (Normal),Toward heart disease,5.256915647850596
categorical__cp_2 categorical__restecg_2,Chest Pain Type = 2 (Non-anginal pain) x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,-5.17036667857349
numeric__oldpeak categorical__thal_7,Oldpeak x Thalassemia Result = 7,Toward heart disease,5.08169701723123
numeric__oldpeak categorical__exang_1,Oldpeak x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-4.6753650151821
categorical__cp_0 categorical__exang_1,Chest Pain Type = 0 (Typical angina) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-4.634087958652783
numeric__oldpeak categorical__cp_1,Oldpeak x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,-4.458605527711087
categorical__fbs_0 categorical__ca_3,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Number of Major Vessels = 3,Toward no heart disease,-4.3843938601845975
categorical__cp_1 categorical__ca_1,Chest Pain Type = 1 (Atypical angina) x Number of Major Vessels = 1,Toward no heart disease,-4.365489570119407
categorical__cp_1 categorical__restecg_0,Chest Pain Type = 1 (Atypical angina) x Resting ECG Result = 0 (Normal),Toward no heart disease,-4.345111556826385
numeric__age categorical__thal_7,Age x Thalassemia Result = 7,Toward no heart disease,-4.267689017271347
categorical__fbs_1 categorical__restecg_0,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Resting ECG Result = 0 (Normal),Toward no heart disease,-4.242792218035338
numeric__age categorical__sex_0,Age x Sex = 0 (Female),Toward no heart disease,-4.178036505119316
categorical__cp_2 categorical__ca_0,Chest Pain Type = 2 (Non-anginal pain) x Number of Major Vessels = 0,Toward no heart disease,-4.125109786547027
categorical__ca_1 categorical__thal_3,Number of Major Vessels = 1 x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-4.073361794377919
numeric__trestbps categorical__cp_1,Resting Blood Pressure x Chest Pain Type = 1 (Atypical angina),Toward no heart disease,-3.9286296918912957
numeric__thalachh categorical__cp_1,Maximum Heart Rate x Chest Pain Type = 1 (Atypical angina),Toward heart disease,3.8171902539274947
numeric__chol categorical__cp_3,Cholesterol x Chest Pain Type = 3 (Asymptomatic),Toward no heart disease,-3.801567084811551
numeric__thalachh categorical__ca_3,Maximum Heart Rate x Number of Major Vessels = 3,Toward heart disease,3.6810715325350536
numeric__trestbps categorical__thal_3,Resting Blood Pressure x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-3.520525679065786
categorical__restecg_0 categorical__slope_1,Resting ECG Result = 0 (Normal) x ST Slope = 1 (Flat),Toward no heart disease,-3.5111383267118264
categorical__slope_2 categorical__thal_7,ST Slope = 2 (Downsloping) x Thalassemia Result = 7,Toward heart disease,3.5085763799650866
numeric__thalachh categorical__fbs_1,Maximum Heart Rate x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward heart disease,3.4993963294403256
numeric__trestbps categorical__ca_2,Resting Blood Pressure x Number of Major Vessels = 2,Toward no heart disease,-3.438020278965152
categorical__cp_3 categorical__fbs_1,Chest Pain Type = 3 (Asymptomatic) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward heart disease,3.3978356498228406
categorical__fbs_1 categorical__thal_3,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-3.3545812810300477
categorical__cp_2 categorical__exang_0,Chest Pain Type = 2 (Non-anginal pain) x Exercise-Induced Angina = 0 (No),Toward heart disease,3.247289248406604
numeric__chol categorical__cp_2,Cholesterol x Chest Pain Type = 2 (Non-anginal pain),Toward heart disease,3.1182504274446563
categorical__restecg_0 categorical__ca_2,Resting ECG Result = 0 (Normal) x Number of Major Vessels = 2,Toward no heart disease,-3.007442114609353
numeric__chol categorical__slope_2,Cholesterol x ST Slope = 2 (Downsloping),Toward no heart disease,-2.924119853707201
numeric__trestbps categorical__slope_2,Resting Blood Pressure x ST Slope = 2 (Downsloping),Toward heart disease,2.8270098760223275
categorical__sex_0 categorical__exang_0,Sex = 0 (Female) x Exercise-Induced Angina = 0 (No),Toward heart disease,2.8018271614063845
numeric__trestbps categorical__cp_3,Resting Blood Pressure x Chest Pain Type = 3 (Asymptomatic),Toward heart disease,2.655357922105423
numeric__chol categorical__exang_1,Cholesterol x Exercise-Induced Angina = 1 (Yes),Toward heart disease,2.5989384628780745
numeric__oldpeak categorical__cp_2,Oldpeak x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,-2.59138410410199
numeric__chol categorical__ca_1,Cholesterol x Number of Major Vessels = 1,Toward heart disease,2.547222801067738
numeric__trestbps categorical__restecg_1,Resting Blood Pressure x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,-2.4911597830076397
numeric__thalachh categorical__sex_0,Maximum Heart Rate x Sex = 0 (Female),Toward no heart disease,-2.4785357773564134
numeric__chol categorical__thal_1,Cholesterol x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,-2.467178422474234
categorical__cp_1 categorical__fbs_0,Chest Pain Type = 1 (Atypical angina) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward heart disease,2.455958357569393
categorical__fbs_0 categorical__ca_4,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Number of Major Vessels = 4,Toward heart disease,2.4101606667624274
numeric__trestbps categorical__thal_7,Resting Blood Pressure x Thalassemia Result = 7,Toward heart disease,2.375952517815598
numeric__thalachh categorical__ca_1,Maximum Heart Rate x Number of Major Vessels = 1,Toward no heart disease,-2.3513380959457013
numeric__chol categorical__slope_1,Cholesterol x ST Slope = 1 (Flat),Toward heart disease,2.247996872774921
numeric__thalachh categorical__cp_2,Maximum Heart Rate x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,-2.143355305772176
categorical__slope_2,ST Slope = 2 (Downsloping),Toward heart disease,2.126284648793663
categorical__cp_3 categorical__restecg_0,Chest Pain Type = 3 (Asymptomatic) x Resting ECG Result = 0 (Normal),Toward heart disease,2.1118283434561547
categorical__restecg_0 categorical__thal_2,Resting ECG Result = 0 (Normal) x Thalassemia Result = 2 (Normal),Toward heart disease,2.0598068236299514
numeric__trestbps categorical__slope_3,Resting Blood Pressure x ST Slope = 3,Toward no heart disease,-2.032094026075884
numeric__oldpeak categorical__slope_0,Oldpeak x ST Slope = 0 (Upsloping),Toward no heart disease,-2.024830209414333
categorical__cp_0 categorical__ca_0,Chest Pain Type = 0 (Typical angina) x Number of Major Vessels = 0,Toward heart disease,2.0154635339844775
numeric__age categorical__fbs_0,Age x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,-1.9944310241804275
